PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
497160,f0rki,20,0,0,0,,,,2026-03-06T19:54:19Z
497159,herbetom,70,0,0,0,,,,2026-03-06T19:54:28Z
497157,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:29Z
497156,meenzen,50,0,0,0,,,,2026-03-06T19:54:30Z
497154,Defelo,70,0,0,0,,,,2026-03-06T19:54:31Z
497153,r-ryantm,20,0,0,0,,,,2026-03-06T19:54:32Z
497152,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:54:32Z
497151,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:33Z
497150,wegank,20,0,0,0,,,,2026-03-06T19:54:35Z
497149,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:35Z
497148,rorosen,20,0,0,0,,,,2026-03-06T19:54:36Z
497147,knl,70,0,0,0,,,,2026-03-06T19:54:37Z
497145,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:38Z
497144,tmuehlbacher,20,0,0,0,,,,2026-03-06T19:54:39Z
497143,atlarator,70,0,0,0,,,,2026-03-06T19:54:40Z
497142,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:41Z
497141,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:42Z
497140,Viruzaum,20,0,0,0,,,,2026-03-06T19:54:43Z
497139,app/nixpkgs-ci,20,0,0,0,,,,2026-03-06T19:54:44Z
497138,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:45Z
497137,wegank,20,0,0,0,,,,2026-03-06T19:54:47Z
497136,wegank,20,0,0,0,,,,2026-03-06T19:54:48Z
497135,silverhadch,20,0,0,0,,,,2026-03-06T19:54:49Z
497133,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:50Z
497132,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:51Z
497131,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:52Z
497130,app/nixpkgs-ci,70,0,0,0,,,,2026-03-06T19:54:53Z
497129,r-ryantm,70,0,0,0,,,,2026-03-06T19:54:55Z
497332,r-ryantm,70,0,0,0,,,,2026-03-06T19:56:04Z
497331,symphorien,20,0,0,0,,,,2026-03-06T19:56:05Z
